IEEE  Header,,,,,,Condition (IF True),HL7 FHIR R4 Provenance,,,,Mapping Instructions,Markdown Transform
Index,Old Header Element,IEEE Header Element,JSON Data Type,Cardinality,Description,,FHIR Attribute,Data Type,Cardinality,Mapping Table/Fixed Values,Mapping Instructions,|Index|IEEE Header Element|FHIR Attribute|Mapping Instructions|
---,,---,,,,,---,,,,---,|---|---|---|---|
1,header.$schema,header.$schema,"JSON schema object (""http://json-schema.org/draft-07/schema#)",,This schema represents the header of a data transaction.,,OMH to FHIR  Provenance Profile,Profile,,,see Provenance elements below,|1|header.$schema|OMH to FHIR  Provenance Profile|see Provenance elements below|
2,,header.$id,,,URI for the schema,,None,,,,schema metadata,|2|header.$id|None|schema metadata|
3,,header.title,,,schema title,,None,,,,schema metadata,|3|header.title|None|schema metadata|
4,header.description,header.description,,,schema description,,None,,,,schema metadata,|4|header.description|None|schema metadata|
5,header.type,header.type,,,,,None,,,,schema metadata,|5|header.type|None|schema metadata|
6,header.definitions.date_time.$ref,header.definitions.date_time.$ref,,,,,None,,,,schema metadata,|6|header.definitions.date_time.$ref|None|schema metadata|
7,header.definitions.schema_id.$ref,header.definitions.schema_id.$ref,,,,,None,,,,schema metadata,|7|header.definitions.schema_id.$ref|None|schema metadata|
8,,header.definitions.frequency_unit_value.$ref,,,,,None,,,,schema metadata,|8|header.definitions.frequency_unit_value.$ref|None|schema metadata|
,,None,,,,,activity.text,string,1..1,"""transform""","fixed to ""transform""","||None|activity.text|fixed to ""transform""|"
,,None,,,,,target.reference,string,1..1,"""#""","fixed to ""#"" since  Provenance  is contained in Observation","||None|target.reference|fixed to ""#"" since  Provenance  is contained in Observation|"
,,None,,,,,recorded,instant,1..1,,System provided value indicates the instant the omh message was transformed to a FHIR resource.,||None|recorded|System provided value indicates the instant the omh message was transformed to a FHIR resource.|
,,None,,,,,policy,uri,0..1,"""http://www.fhir.org/guides/mfhir/ImplementationGuide/openmhealth.mfhir-0.0.0""","fixed to ""http://www.fhir.org/guides/mfhir/ImplementationGuide/openmhealth.mfhir-0.0.0"" Provenance.policy can optionally point to the  omh-fhir ig rules url used for the transformation","||None|policy|fixed to ""http://www.fhir.org/guides/mfhir/ImplementationGuide/openmhealth.mfhir-0.0.0"" Provenance.policy can optionally point to the  omh-fhir ig rules url used for the transformation|"
,,None,,,,,agent[0].type.coding[0].system,uri,0..1,"""http://terminology.hl7.org/CodeSystem/provenance-participant-type""","fixed to ""http://terminology.hl7.org/CodeSystem/provenance-participant-type""","||None|agent[0].type.coding[0].system|fixed to ""http://terminology.hl7.org/CodeSystem/provenance-participant-type""|"
,,None,,,,,agent[0].type.coding[0].code,string,1..1,"""assembler""","fixed to ""assembler""","||None|agent[0].type.coding[0].code|fixed to ""assembler""|"
,,None,,,,,agent[0].type.coding[0].display,string,0..1,"""Assembler""","fixed to ""Assembler""","||None|agent[0].type.coding[0].display|fixed to ""Assembler""|"
,,None,,,,,agent[0].type.who.reference,string,1..1,,Provenance.agent.who references the Organization or Device performing the transformation.,||None|agent[0].type.who.reference|Provenance.agent.who references the Organization or Device performing the transformation.|
,,None,,,,,agent[1].type.text,string,,"""omh-schema""","fixed to ""omh-schema""","||None|agent[1].type.text|fixed to ""omh-schema""|"
,,None,,,,,entity[0],BackboneElement,0..1,,Provenance.entity is optional.  see entity elements below,||None|entity[0]|Provenance.entity is optional.  see entity elements below|
,,None,,,,,entity[0].role,code,1..1,"""source""","fixed to ""source""","||None|entity[0].role|fixed to ""source""|"
13,,header.properties.uuid,string:uuid,1..1,"The identifier of this data point: a globally unique value, generated using RFC 4122 approach.(https://tools.ietf.org/html/rfc4122)",,entity[0].what.identifier[0].value,string,1..1,,"concatenation of  ""urn:uuid:"" + header.properties.uuid","|13|header.properties.uuid|entity[0].what.identifier[0].value|concatenation of  ""urn:uuid:"" + header.properties.uuid|"
13,,header.properties.uuid,,,,,entity[0].what.identifier[0].system,string,1..1,"""urn:ietf:rfc:3986""","fixed to ""urn:ietf:rfc:3986""","|13|header.properties.uuid|entity[0].what.identifier[0].system|fixed to ""urn:ietf:rfc:3986""|"
14,header.properties.schema_id.$ref,header.properties.schema_id,Schema Identifier,1..1,The schema identifier of the body of the data point or data series.,,None,,,,,|14|header.properties.schema_id|None||
14,header.properties.schema_id.$ref,header.properties.schema_id.namespace,string,1..1,The namespace of the schema. A namespace serves to disambiguate schemas with conflicting names.,,agent[1].type.who.identifier.value,string,0..1,,concatenation of  header.properties.schema_id.namespace + header.properties.schema_id.name + header.properties.source_creation_date_time,|14|header.properties.schema_id.namespace|agent[1].type.who.identifier.value|concatenation of  header.properties.schema_id.namespace + header.properties.schema_id.name + header.properties.source_creation_date_time|
14,header.properties.schema_id.$ref,header.properties.schema_id.name,string,1..1,The name of the schema.,,agent[1].type.who.identifier.value,string,1..1,,concatenation of  header.properties.schema_id.namespace + header.properties.schema_id.name + header.properties.source_creation_date_time,|14|header.properties.schema_id.name|agent[1].type.who.identifier.value|concatenation of  header.properties.schema_id.namespace + header.properties.schema_id.name + header.properties.source_creation_date_time|
14,header.properties.schema_id.$ref,header.properties.schema_id.version,string,1..1,"The version of the schema, e.g. 1.0.",,agent[1].type.who.identifier.value,string,1..1,,concatenation of  header.properties.schema_id.namespace + header.properties.schema_id.name + header.properties.source_creation_date_time,|14|header.properties.schema_id.version|agent[1].type.who.identifier.value|concatenation of  header.properties.schema_id.namespace + header.properties.schema_id.name + header.properties.source_creation_date_time|
18,header.properties.creation_date_time.$ref,header.properties.source_creation_date_time,string:date-time,1..1,"The date time (timestamp) when this datapoint or data series was created at the original source. If the datapoint or data series is aggregated later, the date does not change. If the datapoint or data series is recalculated later (e.g., using a different algorithm), a new datapoint or data series is created with a different id and creation date. This represents a point in time (ISO8601). If a timezone is not included, the timezone is assumed to be UTC. Reference RFC 3339 5.6 for details."", ""url"": ""http://tools.ietf.org/html/rfc3339#section-5.6.",,None,,,,,|18|header.properties.source_creation_date_time|None||
21,header.properties.acquisition_provenance.type,header.properties.modality.description,string,0..1," ['sensed' ,'self-reported'] The modality whereby the measure is obtained, e.g., sensed or self-reported.",,None,,,,,|21|header.properties.modality.description|None||
35,header.properties.user_id.description,header.properties.acquisition_rate,Unit of Frequency and Value,0..1,The rate at which measures are acquired. Choice of Unit of Measure and Value  OR How many times the event occurs or should occur in the time window.,,None,,,,,|35|header.properties.acquisition_rate|None||
36,header.properties.user_id.type,header.properties.acquisition_rate.value,number,1..1,The numeric value,,None,,,,,|36|header.properties.acquisition_rate.value|None||
37,,header.properties.acquisition_rate.low_value,number,1..1,The lower boundary  in the interval.,,None,,,,,|37|header.properties.acquisition_rate.low_value|None||
38,,header.properties.acquisition_rate.high_value,number,1..1,The upper boundary in the interval.,,None,,,,,|38|header.properties.acquisition_rate.high_value|None||
38,,header.properties.acquisition_rate.unit,string,1..1," IF 'value' valued then unit = 'hz' ELSE unit = [""ps"",""ns"",""us"",""ms"",""sec"",""min"",""h"",""d"",""wk"",""Mo"",""yr""].The unit of measure of the element. Allowed values are drawn from UCUM.",,None,,,,,|38|header.properties.acquisition_rate.unit|None||
,,header.properties.external_datasheets,array,0..*,"Reference(s) to external documentation regarding the component(s) relevant to describe the collection, computation, use, etc. of this datapoint or data series, e.g., software, algorithm, study protocol, etc.",,None,,,,,||header.properties.external_datasheets|None||
,,header.properties.external_datasheets.items,object,,,,None,,,,,||header.properties.external_datasheets.items|None||
39,,header.properties.external_datasheets.items.properties.datasheet_type,string,0..1,"The type of component described or documented by the referenced datasheet, e.g., software, hardware, study.",,None,,,,,|39|header.properties.external_datasheets.items.properties.datasheet_type|None||
41,,header.properties.external_datasheets.items.properties.datasheet_reference,string:iri,1..1,International Resource Identifier (IRI) of applicable datasheet(s). The expectation is that the IRI will convey resolvable location and access information for the resource identified resource.,,None,,,,,|41|header.properties.external_datasheets.items.properties.datasheet_reference|None||
42,,,,,,,,,,,,
44,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,