Index,OMH Blood Glucose Element,JSON Data Type,Cardinality,Description,,FHIR Attribute,Data Type,Cardinality,Mapping Table/Fixed Values,Mapping Instructions,|Index|OMH Blood Glucose Element|FHIR Attribute|Mapping Instructions|
1,blood-glucose-2.0.json,"JSON schema object (""http://json-schema.org/draft-04/schema#)",,This schema represents a person's blood glucose level,,OMH to FHIR Observation Profile,Profile,,,,|1|blood-glucose-2.0.json|OMH to FHIR Observation Profile||
2.1,body.blood_glucose,unit-value-1.0.json,1..1,blood glucose,,Observation.valueQuantity,Quantity,1..1,,see valueQuantity elements below,|2.1|body.blood_glucose|Observation.valueQuantity|see valueQuantity elements below|
2.2,body.blood_glucose.value,number,1..1,blood glucose value,,Observation.valueQuantity.value,decimal,0..1,,=  body.blood_glucose.value,|2.2|body.blood_glucose.value|Observation.valueQuantity.value|=  body.blood_glucose.value|
2.3,body.blood_glucose.unit,string,1..1,blood glucose unit,,Observation.valueQuantity.unit,string,0..1,,=  body.blood_glucose.unit,|2.3|body.blood_glucose.unit|Observation.valueQuantity.unit|=  body.blood_glucose.unit|
2.4,body.blood_glucose.unit,,,,,valueQuantity.system,uri,0..1,http://unitsofmeasure.org,fixed to 'http://unitsofmeasure.org',|2.4|body.blood_glucose.unit|valueQuantity.system|fixed to 'http://unitsofmeasure.org'|
2.5,body.blood_glucose.unit,,,,,valueQuantity.code,string,0..1,OMH_FHIR_Concept_Mapping_Table,Map body.blood_glucose.unit to column 'FHIR Concept' using  the [OMH_FHIR_Concept_Mapping_Table](#),|2.5|body.blood_glucose.unit|valueQuantity.code|Map body.blood_glucose.unit to column 'FHIR Concept' using  the [OMH_FHIR_Concept_Mapping_Table](#)|
3,body.effective_time_frame,time-frame,1..1,when the measurement was taken,,Observation.effective[x],varies,0..1,,Mappping depends on type- see below,|3|body.effective_time_frame|Observation.effective[x]|Mappping depends on type- see below|
5,body.effective_time_frame.date_time,date-time,0..1,represents a point in time (ISO8601),,Observation.effectiveDateTime,string,0..1,,=  body.effective_time_frame.date_time,|5|body.effective_time_frame.date_time|Observation.effectiveDateTime|=  body.effective_time_frame.date_time|
4,body.effective_time_frame.time_interval,time-interval,1..1,"This schema describes an interval of time. In the absence of a precise start and/or end time, the time interval can be described as a date + a part of the day (morning, afternoon, evening, night). No commitments are made as to whether the start or end time point itself is included in the interval (i.e., whether the defined interval includes the boundary point(s) or not).
",,Observation.effectivePeriod,Period,0..1,,see effectivePeriod.elements below,|4|body.effective_time_frame.time_interval|Observation.effectivePeriod|see effectivePeriod.elements below|
6,body.effective_time_frame.time_interval.start_date_time,date-time,0..1,represents a point in time (ISO8601),,Observation.effectivePeriod.start,dateTime,0..1,,=  body.effective_time_frame.time_interval.start_date_time,|6|body.effective_time_frame.time_interval.start_date_time|Observation.effectivePeriod.start|=  body.effective_time_frame.time_interval.start_date_time|
7,body.effective_time_frame.time_interval.end_date_time,date-time,0..1,represents a point in time (ISO8601),,Observation.effectivePeriod.end,dateTime,0..1,,=  body.effective_time_frame.time_interval.end_date_time,|7|body.effective_time_frame.time_interval.end_date_time|Observation.effectivePeriod.end|=  body.effective_time_frame.time_interval.end_date_time|
8,body.user_notes,string,0..1,,,Observation.note[0].text,string,0..1,,=  body.user_notes,|8|body.user_notes|Observation.note[0].text|=  body.user_notes|
9.1,body.specimen_source,string (enum),0..1,The specimen or sample analyzed,,Observation.extension,Extension,0..*,,extension see below for Extension elements,|9.1|body.specimen_source|Observation.extension|extension see below for Extension elements|
9.2,body.specimen_source,,,,,Observation.extension[0].url,uri,1..1,'http://hl7.org/fhir/StructureDefinition/observation-specimenCode',fixed to ''http://hl7.org/fhir/StructureDefinition/observation-specimenCode'',|9.2|body.specimen_source|Observation.extension[0].url|fixed to ''http://hl7.org/fhir/StructureDefinition/observation-specimenCode''|
9.3,body.specimen_source,,,,,Observation.extension[0].valueCodeableConcept,Element,1..1,,see CodeableConcept below:,|9.3|body.specimen_source|Observation.extension[0].valueCodeableConcept|see CodeableConcept below:|
9.4,body.specimen_source,,,,,Observation.extension[0].valueCodeableConcept.coding[0].code,code,1..1,OMH_FHIR_Concept_Mapping_Table,Map body.specimen_source to column 'FHIR Concept' using  the [OMH_FHIR_Concept_Mapping_Table](#),|9.4|body.specimen_source|Observation.extension[0].valueCodeableConcept.coding[0].code|Map body.specimen_source to column 'FHIR Concept' using  the [OMH_FHIR_Concept_Mapping_Table](#)|
9.5,body.specimen_source,,,,,Observation.extension[0].valueCodeableConcept.coding[0].system,uri,1..1,OMH_FHIR_Concept_Mapping_Table,Map body.specimen_source to column 'FHIR Concept System' using  the [OMH_FHIR_Concept_Mapping_Table](#),|9.5|body.specimen_source|Observation.extension[0].valueCodeableConcept.coding[0].system|Map body.specimen_source to column 'FHIR Concept System' using  the [OMH_FHIR_Concept_Mapping_Table](#)|
9.6,body.specimen_source,,,,,Observation.extension[0].valueCodeableConcept.coding[0].display,display,0..1,OMH_FHIR_Concept_Mapping_Table,Map body.specimen_source to column 'FHIR Concept Display' using  the [OMH_FHIR_Concept_Mapping_Table](#),|9.6|body.specimen_source|Observation.extension[0].valueCodeableConcept.coding[0].display|Map body.specimen_source to column 'FHIR Concept Display' using  the [OMH_FHIR_Concept_Mapping_Table](#)|
11.1,body.descriptive_statistic,,,,,Observation.code.coding[1].code,code,1..1,,concatenation of  header.schema_id.name = 'blood-glucose'  + '-' + body.descriptive_statistic  for example= blood-glucose-maximum,|11.1|body.descriptive_statistic|Observation.code.coding[1].code|concatenation of  header.schema_id.name = 'blood-glucose'  + '-' + body.descriptive_statistic  for example= blood-glucose-maximum|
11.2,body.descriptive_statistic,,,,,Observation.code.coding[1].system,uri,1..1,"""http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes""","fixed to '""http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes""'","|11.2|body.descriptive_statistic|Observation.code.coding[1].system|fixed to '""http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes""'|"
11.3,body.descriptive_statistic,,,,,Observation.code.coding[1].display,string,1..1,,concatenation of  header.schema_id.name = 'blood-glucose'  + '-' + body.descriptive_statistic  for example= blood-glucose-maximum,|11.3|body.descriptive_statistic|Observation.code.coding[1].display|concatenation of  header.schema_id.name = 'blood-glucose'  + '-' + body.descriptive_statistic  for example= blood-glucose-maximum|
11,body.temporal_relationship_to_physical_activity,temporal-relationship-to-physical-activity,0..1,The temporal relationship of a clinical measure or assessment to physical activity.,,Observation.component[0],Element,0..*,OMH_FHIR_Component_Mapping_Table,A mapping between temporal-relationship-to-physical-activity and FHIR Observation Component data elements.  Multiple components mapping are appended as a list,|11|body.temporal_relationship_to_physical_activity|Observation.component[0]|A mapping between temporal-relationship-to-physical-activity and FHIR Observation Component data elements.  Multiple components mapping are appended as a list|
11.A1,body.temporal_relationship_to_physical_activity,,,,,Observation.component[0].code,CodeableConcept,1..1,,A mapping between temporal-relationship-to-physical-activity and FHIR Observation Component.code data elements.,|11.A1|body.temporal_relationship_to_physical_activity|Observation.component[0].code|A mapping between temporal-relationship-to-physical-activity and FHIR Observation Component.code data elements.|
11.A2,body.temporal_relationship_to_physical_activity,,,,,Observation.component[0].code.coding[1].code,code,1..1,'relative-to-activity',=  'relative-to-activity',|11.A2|body.temporal_relationship_to_physical_activity|Observation.component[0].code.coding[1].code|=  'relative-to-activity'|
11.A3,body.temporal_relationship_to_physical_activity,,,,,Observation.component[0].code.coding[1].system,uri,1..1,"""http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes""","=  ""http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes""","|11.A3|body.temporal_relationship_to_physical_activity|Observation.component[0].code.coding[1].system|=  ""http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes""|"
11.A4,body.temporal_relationship_to_physical_activity,,,,,Observation.component[0].code.coding[1].display,string,1..1,'OMH to FHIR Temporal Relationship To Physical Activity',=  'OMH to FHIR Temporal Relationship To Physical Activity',|11.A4|body.temporal_relationship_to_physical_activity|Observation.component[0].code.coding[1].display|=  'OMH to FHIR Temporal Relationship To Physical Activity'|
11.B1,body.temporal_relationship_to_physical_activity,,,,,Observation.component[0].valueCodeableConcept,,1..1,,A mapping between body.temporal_relationship_to_physical_activity and FHIR Observation Component.valueCodeableConcept data elements.,|11.B1|body.temporal_relationship_to_physical_activity|Observation.component[0].valueCodeableConcept|A mapping between body.temporal_relationship_to_physical_activity and FHIR Observation Component.valueCodeableConcept data elements.|
11.B2,body.temporal_relationship_to_physical_activity,,,,,Observation.component[0].valueCodeableConcept.coding[0].code,code,1..1,OMH_FHIR_Concept_Mapping_Table,Map body.temporal_relationship_to_physical_activity to column 'FHIR Concept' using  the [OMH_FHIR_Concept_Mapping_Table](#),|11.B2|body.temporal_relationship_to_physical_activity|Observation.component[0].valueCodeableConcept.coding[0].code|Map body.temporal_relationship_to_physical_activity to column 'FHIR Concept' using  the [OMH_FHIR_Concept_Mapping_Table](#)|
11.B3,body.temporal_relationship_to_physical_activity,,,,,Observation.component[0].valueCodeableConcept.coding[0].system,uri,1..1,OMH_FHIR_Concept_Mapping_Table,Map body.temporal_relationship_to_physical_activity to column 'FHIR Concept System' using  the [OMH_FHIR_Concept_Mapping_Table](#),|11.B3|body.temporal_relationship_to_physical_activity|Observation.component[0].valueCodeableConcept.coding[0].system|Map body.temporal_relationship_to_physical_activity to column 'FHIR Concept System' using  the [OMH_FHIR_Concept_Mapping_Table](#)|
11.B4,body.temporal_relationship_to_physical_activity,,,,,Observation.component[0].valueCodeableConcept.coding[0].display,string,1..1,OMH_FHIR_Concept_Mapping_Table,Map body.temporal_relationship_to_physical_activity to column 'FHIR Concept display' using  the [OMH_FHIR_Concept_Mapping_Table](#),|11.B4|body.temporal_relationship_to_physical_activity|Observation.component[0].valueCodeableConcept.coding[0].display|Map body.temporal_relationship_to_physical_activity to column 'FHIR Concept display' using  the [OMH_FHIR_Concept_Mapping_Table](#)|
11.B5,body.temporal_relationship_to_physical_activity,,,,,Observation.component[0].valueCodeableConcept.text,string,1..1,,=  body.temporal_relationship_to_physical_activity,|11.B5|body.temporal_relationship_to_physical_activity|Observation.component[0].valueCodeableConcept.text|=  body.temporal_relationship_to_physical_activity|
12,body.temporal_relationship_to_sleep,temporal-relationship-to-sleep,0..1,The temporal relationship of a clinical measure or assessment to sleep.,,Observation.component[0],Element,0..*,OMH_FHIR_Component_Mapping_Table,A mapping table between OMH schema ('datapoint_variables') and FHIR Observation Component data elements.  Multiple components mapping are appended as a list,|12|body.temporal_relationship_to_sleep|Observation.component[0]|A mapping table between OMH schema ('datapoint_variables') and FHIR Observation Component data elements.  Multiple components mapping are appended as a list|
12.A1,body.temporal_relationship_to_sleep,,,,,Observation.component[0].code,CodeableConcept,1..1,,A mapping between temporal-relationship-to-sleep and FHIR Observation Component.code data elements.,|12.A1|body.temporal_relationship_to_sleep|Observation.component[0].code|A mapping between temporal-relationship-to-sleep and FHIR Observation Component.code data elements.|
12.A2,body.temporal_relationship_to_sleep,,,,,Observation.component[0].code.coding[1].code,code,1..1,'relative-to-sleep',=  'relative-to-sleep',|12.A2|body.temporal_relationship_to_sleep|Observation.component[0].code.coding[1].code|=  'relative-to-sleep'|
12.A3,body.temporal_relationship_to_sleep,,,,,Observation.component[0].code.coding[1].system,uri,1..1,"""http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes""","=  ""http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes""","|12.A3|body.temporal_relationship_to_sleep|Observation.component[0].code.coding[1].system|=  ""http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes""|"
12.A4,body.temporal_relationship_to_sleep,,,,,Observation.component[0].code.coding[1].display,string,1..1,'OMH to FHIR Temporal Relationship To Sleep',=  'OMH to FHIR Temporal Relationship To Sleep',|12.A4|body.temporal_relationship_to_sleep|Observation.component[0].code.coding[1].display|=  'OMH to FHIR Temporal Relationship To Sleep'|
12.B1,body.temporal_relationship_to_sleep,,,,,Observation.component[0].valueCodeableConcept,,1..1,,A mapping between body.temporal_relationship_to_sleep and FHIR Observation Component.valueCodeableConcept data elements.,|12.B1|body.temporal_relationship_to_sleep|Observation.component[0].valueCodeableConcept|A mapping between body.temporal_relationship_to_sleep and FHIR Observation Component.valueCodeableConcept data elements.|
12.B2,body.temporal_relationship_to_sleep,,,,,Observation.component[0].valueCodeableConcept.coding[0].code,code,1..1,OMH_FHIR_Concept_Mapping_Table,Map body.temporal_relationship_to_sleep to column 'FHIR Concept' using  the [OMH_FHIR_Concept_Mapping_Table](#),|12.B2|body.temporal_relationship_to_sleep|Observation.component[0].valueCodeableConcept.coding[0].code|Map body.temporal_relationship_to_sleep to column 'FHIR Concept' using  the [OMH_FHIR_Concept_Mapping_Table](#)|
12.B3,body.temporal_relationship_to_sleep,,,,,Observation.component[0].valueCodeableConcept.coding[0].system,uri,1..1,OMH_FHIR_Concept_Mapping_Table,Map body.temporal_relationship_to_sleep to column 'FHIR Concept System' using  the [OMH_FHIR_Concept_Mapping_Table](#),|12.B3|body.temporal_relationship_to_sleep|Observation.component[0].valueCodeableConcept.coding[0].system|Map body.temporal_relationship_to_sleep to column 'FHIR Concept System' using  the [OMH_FHIR_Concept_Mapping_Table](#)|
12.B4,body.temporal_relationship_to_sleep,,,,,Observation.component[0].valueCodeableConcept.coding[0].display,string,1..1,OMH_FHIR_Concept_Mapping_Table,Map body.temporal_relationship_to_sleep to column 'FHIR Concept display' using  the [OMH_FHIR_Concept_Mapping_Table](#),|12.B4|body.temporal_relationship_to_sleep|Observation.component[0].valueCodeableConcept.coding[0].display|Map body.temporal_relationship_to_sleep to column 'FHIR Concept display' using  the [OMH_FHIR_Concept_Mapping_Table](#)|
12.B5,body.temporal_relationship_to_sleep,,,,,Observation.component[0].valueCodeableConcept.text,string,1..1,,=  body.temporal_relationship_to_sleep,|12.B5|body.temporal_relationship_to_sleep|Observation.component[0].valueCodeableConcept.text|=  body.temporal_relationship_to_sleep|
13,temporal_relationship_to_meal,temporal-relationship-to-meal,0..1,The temporal relationship of a clinical measure or assessment to a meal.,,Observation.component,Element,0..*,OMH_FHIR_Component_Mapping_Table,A mapping table between OMH schema ('datapoint_variables') and FHIR Observation Component data elements.  Multiple components mapping are appended as a list,|13|temporal_relationship_to_meal|Observation.component|A mapping table between OMH schema ('datapoint_variables') and FHIR Observation Component data elements.  Multiple components mapping are appended as a list|
13.A1,body.temporal_relationship_to_meal,,,,,Observation.component[0].code,CodeableConcept,1..1,,A mapping between temporal-relationship-to-meal and FHIR Observation Component.code data elements.,|13.A1|body.temporal_relationship_to_meal|Observation.component[0].code|A mapping between temporal-relationship-to-meal and FHIR Observation Component.code data elements.|
13.A2,body.temporal_relationship_to_meal,,,,,Observation.component[0].code.coding[1].code,code,1..1,'relative-to-meal',=  'relative-to-meal',|13.A2|body.temporal_relationship_to_meal|Observation.component[0].code.coding[1].code|=  'relative-to-meal'|
13.A3,body.temporal_relationship_to_meal,,,,,Observation.component[0].code.coding[1].system,uri,1..1,"""http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes""","=  ""http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes""","|13.A3|body.temporal_relationship_to_meal|Observation.component[0].code.coding[1].system|=  ""http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes""|"
13.A4,body.temporal_relationship_to_meal,,,,,Observation.component[0].code.coding[1].display,string,1..1,'OMH to FHIR Temporal Relationship To Meal',=  'OMH to FHIR Temporal Relationship To Meal',|13.A4|body.temporal_relationship_to_meal|Observation.component[0].code.coding[1].display|=  'OMH to FHIR Temporal Relationship To Meal'|
13.B1,body.temporal_relationship_to_meal,,,,,Observation.component[0].valueCodeableConcept,,1..1,,A mapping between body.temporal_relationship_to_meal and FHIR Observation Component.valueCodeableConcept data elements.,|13.B1|body.temporal_relationship_to_meal|Observation.component[0].valueCodeableConcept|A mapping between body.temporal_relationship_to_meal and FHIR Observation Component.valueCodeableConcept data elements.|
13.B2,body.temporal_relationship_to_meal,,,,,Observation.component[0].valueCodeableConcept.coding[0].code,code,1..1,OMH_FHIR_Concept_Mapping_Table,Map body.temporal_relationship_to_meal to column 'FHIR Concept' using  the [OMH_FHIR_Concept_Mapping_Table](#),|13.B2|body.temporal_relationship_to_meal|Observation.component[0].valueCodeableConcept.coding[0].code|Map body.temporal_relationship_to_meal to column 'FHIR Concept' using  the [OMH_FHIR_Concept_Mapping_Table](#)|
13.B3,body.temporal_relationship_to_meal,,,,,Observation.component[0].valueCodeableConcept.coding[0].system,uri,1..1,OMH_FHIR_Concept_Mapping_Table,Map body.temporal_relationship_to_meal to column 'FHIR Concept System' using  the [OMH_FHIR_Concept_Mapping_Table](#),|13.B3|body.temporal_relationship_to_meal|Observation.component[0].valueCodeableConcept.coding[0].system|Map body.temporal_relationship_to_meal to column 'FHIR Concept System' using  the [OMH_FHIR_Concept_Mapping_Table](#)|
13.B4,body.temporal_relationship_to_meal,,,,,Observation.component[0].valueCodeableConcept.coding[0].display,string,1..1,OMH_FHIR_Concept_Mapping_Table,Map body.temporal_relationship_to_meal to column 'FHIR Concept display' using  the [OMH_FHIR_Concept_Mapping_Table](#),|13.B4|body.temporal_relationship_to_meal|Observation.component[0].valueCodeableConcept.coding[0].display|Map body.temporal_relationship_to_meal to column 'FHIR Concept display' using  the [OMH_FHIR_Concept_Mapping_Table](#)|
13.B5,body.temporal_relationship_to_meal,,,,,Observation.component[0].valueCodeableConcept.text,string,1..1,,=  body.temporal_relationship_to_meal,|13.B5|body.temporal_relationship_to_meal|Observation.component[0].valueCodeableConcept.text|=  body.temporal_relationship_to_meal|
