,,,,,,,,,,,Markdown Transform,,,,,,,,
,,,,,,,,,,,## OMH Blood Pressure DataPoint to FHIR Observation Detailed Mapping,,,,,,,,
,,,,,,,,,,,,,,,,,,,
OMH Blood Pressure,,,,,,HL7 FHIR R4 Observation,,,,Comments,The following Table provides the detailed mapping for the OMH Blood Pressure DataPoint to the OMH to FHIR Observation Profile TODO: add link to map and profile:,,,,,,,,
Index,OMH Blood Pressure Element,JSON Data Type,Cardinality,Description,,FHIR Attribute,Data Type,Cardinality,Mapping Table/Fixed Values,Mapping Instructions,|Index|OMH Blood Pressure Element|FHIR Attribute|Mapping Instructions|,,,,,,,,
---,---,,,,,---,,,,---,|---|---|---|---|,,,,,,,,
1,blood-pressure-2.0.json,"JSON schema object (""http://json-schema.org/draft-04/schema#)",,This schema represents a person's blood pressure as a combination of systolic and diastolic blood pressure.,,OMH to FHIR Observation Profile,Profile,,,,|1|blood-pressure-2.0.json|OMH to FHIR Observation Profile||,,,,,,,,
3,body.effective_time_frame,time-frame,1..1,when the measurement was taken,,Observation.effective[x],varies,0..1,,Mappping depends on type- see below,|3|body.effective_time_frame|Observation.effective[x]|Mappping depends on type- see below|,,,,,,,,
3.1,body.effective_time_frame.date_time,date-time,0..1,represents a point in time (ISO8601),,Observation.effectiveDateTime,string,0..1,,=  body.effective_time_frame.date_time,|3.1|body.effective_time_frame.date_time|Observation.effectiveDateTime|=  body.effective_time_frame.date_time|,,,,,,,,
3.2,body.effective_time_frame.time_interval,time-interval,1..1,"This schema describes an interval of time. In the absence of a precise start and/or end time, the time interval can be described as a date + a part of the day (morning, afternoon, evening, night). No commitments are made as to whether the start or end time point itself is included in the interval (i.e., whether the defined interval includes the boundary point(s) or not).
",,Observation.effectivePeriod,Period,0..1,,see effectivePeriod elements below,|3.2|body.effective_time_frame.time_interval|Observation.effectivePeriod|see effectivePeriod elements below|,,,,,,,,
3.2.1,body.effective_time_frame.time_interval.start_date_time,date-time,0..1,represents a point in time (ISO8601),,Observation.effectivePeriod.start,dateTime,0..1,,=  body.effective_time_frame.time_interval.start_date_time,|3.2.1|body.effective_time_frame.time_interval.start_date_time|Observation.effectivePeriod.start|=  body.effective_time_frame.time_interval.start_date_time|,,,,,,,,
3.2.2,body.effective_time_frame.time_interval.end_date_time,date-time,0..1,represents a point in time (ISO8601),,Observation.effectivePeriod.end,dateTime,0..1,,=  body.effective_time_frame.time_interval.end_date_time,|3.2.2|body.effective_time_frame.time_interval.end_date_time|Observation.effectivePeriod.end|=  body.effective_time_frame.time_interval.end_date_time|,,,,,,,,
8.1,body.measurement_location,string,0..1,The location on the body where the blood pressure measuring device is placed for measurement. A location on the body. This is an incomplete value set. Values from the Anatomical or acquired body structure hierarchy of  SNOMED can be added as needed. The SNOMED code represents Anatomical or acquired body structure (body structure),,Observation.bodySite,CodeableConcept,0..1,,See bodySite elements below,|8.1|body.measurement_location|Observation.bodySite|See bodySite elements below|,,,,,,,,
8.2,body.measurement_location,,,,,Observation.bodySIte.coding[0].code,code,1..1,OMH_FHIR_Concept_Mapping_Table,Map body.measurement_location to column 'FHIR Concept' using  the [OMH_FHIR_Concept_Mapping_Table](#),|8.2|body.measurement_location|Observation.bodySIte.coding[0].code|Map body.measurement_location to column 'FHIR Concept' using  the [OMH_FHIR_Concept_Mapping_Table](#)|,,,,,,,,
8.3,body.measurement_location,,,,,Observation.bodySIte.coding[0].system,uri,1..1,OMH_FHIR_Concept_Mapping_Table,Map body.measurement_location to column 'FHIR Concept System' using  the [OMH_FHIR_Concept_Mapping_Table](#),|8.3|body.measurement_location|Observation.bodySIte.coding[0].system|Map body.measurement_location to column 'FHIR Concept System' using  the [OMH_FHIR_Concept_Mapping_Table](#)|,,,,,,,,
8.4,body.measurement_location,,,,,Observation.bodySIte.coding[0].display,display,0..1,OMH_FHIR_Concept_Mapping_Table,Map body.measurement_location to column 'FHIR Concept display' using  the [OMH_FHIR_Concept_Mapping_Table](#),|8.4|body.measurement_location|Observation.bodySIte.coding[0].display|Map body.measurement_location to column 'FHIR Concept display' using  the [OMH_FHIR_Concept_Mapping_Table](#)|,,,,,,,,
10,body.descriptive_statistic,descriptive-statistic,0..1,"The descriptive statistic of a set of measurements. A measurement value can be the result of combining various measurements and calculating descriptive statistics like average, maximum, minimum, etc. Additional descriptive statistics will be added as the need arises. A measurement value without a descriptive statistic is interpreted as being the result of an individual measurement.
",,Observation.code.coding[1],Coding,0..1,,Map  descriptive statistic to the OMH to FHIR additional Observation codings ( code system http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes).,|10|body.descriptive_statistic|Observation.code.coding[1]|Map  descriptive statistic to the OMH to FHIR additional Observation codings ( code system http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes).|,,,,,,,,
10.1,body.descriptive_statistic,,,,,Observation.code.coding[1].code,code,1..1,,concatenation of  header.schema_id.name = 'blood-pressure'  + '-' + body.descriptive_statistic  for example= blood-pressure-maximum,|10.1|body.descriptive_statistic|Observation.code.coding[1].code|concatenation of  header.schema_id.name = 'blood-pressure'  + '-' + body.descriptive_statistic  for example= blood-pressure-maximum|,,,,,,,,
10.2,body.descriptive_statistic,,,,,Observation.code.coding[1].system,uri,1..1,"""http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes""","fixed to '""http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes""'","|10.2|body.descriptive_statistic|Observation.code.coding[1].system|fixed to '""http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes""'|",,,,,,,,
10.3,body.descriptive_statistic,,,,,Observation.code.coding[1].display,string,1..1,,concatenation of  header.schema_id.name = 'blood-pressure'  + '-' + body.descriptive_statistic  for example= blood-pressure-maximum,|10.3|body.descriptive_statistic|Observation.code.coding[1].display|concatenation of  header.schema_id.name = 'blood-pressure'  + '-' + body.descriptive_statistic  for example= blood-pressure-maximum|,,,,,,,,
11,body.temporal_relationship_to_physical_activity,temporal-relationship-to-physical-activity,0..1,The temporal relationship of a clinical measure or assessment to physical activity.,,Observation.component[0],Element,0..*,OMH_FHIR_Component_Mapping_Table,A mapping between temporal-relationship-to-physical-activity and FHIR Observation Component data elements.  Multiple components mapping are appended as a list,|11|body.temporal_relationship_to_physical_activity|Observation.component[0]|A mapping between temporal-relationship-to-physical-activity and FHIR Observation Component data elements.  Multiple components mapping are appended as a list|,,,,,,,,
11.A1,body.temporal_relationship_to_physical_activity,,,,,Observation.component[0].code,CodeableConcept,1..1,,A mapping between body.temporal_relationship_to_physical_activity and FHIR Observation Component.code data elements.,|11.A1|body.temporal_relationship_to_physical_activity|Observation.component[0].code|A mapping between body.temporal_relationship_to_physical_activity and FHIR Observation Component.code data elements.|,,,,,,,,
11.A2,body.temporal_relationship_to_physical_activity,,,,,Observation.component[0].code.coding[1].code,code,1..1,'relative-to-activity',=  'relative-to-activity',|11.A2|body.temporal_relationship_to_physical_activity|Observation.component[0].code.coding[1].code|=  'relative-to-activity'|,,,,,,,,
11.A3,body.temporal_relationship_to_physical_activity,,,,,Observation.component[0].code.coding[1].system,uri,1..1,"""http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes""","=  ""http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes""","|11.A3|body.temporal_relationship_to_physical_activity|Observation.component[0].code.coding[1].system|=  ""http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes""|",,,,,,,,
11.A4,body.temporal_relationship_to_physical_activity,,,,,Observation.component[0].code.coding[1].display,string,1..1,'OMH to FHIR Temporal Relationship To Physical Activity',=  'OMH to FHIR Temporal Relationship To Physical Activity',|11.A4|body.temporal_relationship_to_physical_activity|Observation.component[0].code.coding[1].display|=  'OMH to FHIR Temporal Relationship To Physical Activity'|,,,,,,,,
11.B1,body.temporal_relationship_to_physical_activity,,,,,Observation.component[0].valueCodeableConcept,,1..1,,A mapping between body.temporal_relationship_to_physical_activity and FHIR Observation Component.valueCodeableConcept data elements.,|11.B1|body.temporal_relationship_to_physical_activity|Observation.component[0].valueCodeableConcept|A mapping between body.temporal_relationship_to_physical_activity and FHIR Observation Component.valueCodeableConcept data elements.|,,,,,,,,
11.B2,body.temporal_relationship_to_physical_activity,,,,,Observation.component[0].valueCodeableConcept.coding[0].code,code,1..1,OMH_FHIR_Concept_Mapping_Table,Map body.temporal_relationship_to_physical_activity to column 'FHIR Concept' using  the [OMH_FHIR_Concept_Mapping_Table](#),|11.B2|body.temporal_relationship_to_physical_activity|Observation.component[0].valueCodeableConcept.coding[0].code|Map body.temporal_relationship_to_physical_activity to column 'FHIR Concept' using  the [OMH_FHIR_Concept_Mapping_Table](#)|,,,,,,,,
11.B3,body.temporal_relationship_to_physical_activity,,,,,Observation.component[0].valueCodeableConcept.coding[0].system,uri,1..1,OMH_FHIR_Concept_Mapping_Table,Map body.temporal_relationship_to_physical_activity to column 'FHIR Concept System' using  the [OMH_FHIR_Concept_Mapping_Table](#),|11.B3|body.temporal_relationship_to_physical_activity|Observation.component[0].valueCodeableConcept.coding[0].system|Map body.temporal_relationship_to_physical_activity to column 'FHIR Concept System' using  the [OMH_FHIR_Concept_Mapping_Table](#)|,,,,,,,,
11.B4,body.temporal_relationship_to_physical_activity,,,,,Observation.component[0].valueCodeableConcept.coding[0].display,string,1..1,OMH_FHIR_Concept_Mapping_Table,Map body.temporal_relationship_to_physical_activity to column 'FHIR Concept display' using  the [OMH_FHIR_Concept_Mapping_Table](#),|11.B4|body.temporal_relationship_to_physical_activity|Observation.component[0].valueCodeableConcept.coding[0].display|Map body.temporal_relationship_to_physical_activity to column 'FHIR Concept display' using  the [OMH_FHIR_Concept_Mapping_Table](#)|,,,,,,,,
11.B5,body.temporal_relationship_to_physical_activity,,,,,Observation.component[0].valueCodeableConcept.text,string,1..1,,=  body.temporal_relationship_to_physical_activity,|11.B5|body.temporal_relationship_to_physical_activity|Observation.component[0].valueCodeableConcept.text|=  body.temporal_relationship_to_physical_activity|,,,,,,,,
12,body.body_posture,body_posture,0..1,"The posture of the subject (for example, during a clinical measurement). This value set is not exhaustive.   The SNOMED code represents Position of body and posture (observable entity)""",,Observation.component[0],Element,0..*,OMH_FHIR_Component_Mapping_Table,A mapping table between OMH schema ('datapoint_variables') and FHIR Observation Component data elements.  Multiple components mapping are appended as a list,|12|body.body_posture|Observation.component[0]|A mapping table between OMH schema ('datapoint_variables') and FHIR Observation Component data elements.  Multiple components mapping are appended as a list|,,,,,,,,
12.A1,body.body_posture,,,,,Observation.component[0].code,CodeableConcept,1..1,,A mapping between body.body_posture and FHIR Observation Component.code data elements.,|12.A1|body.body_posture|Observation.component[0].code|A mapping between body.body_posture and FHIR Observation Component.code data elements.|,,,,,,,,
12.A2,body.body_posture,,,,,Observation.component[0].code.coding[1].code,code,1..1,'271605009',=  '271605009',|12.A2|body.body_posture|Observation.component[0].code.coding[1].code|=  '271605009'|,,,,,,,,
12.A3,body.body_posture,,,,,Observation.component[0].code.coding[1].system,uri,1..1,'http://snomed.info/sct',=  'http://snomed.info/sct',|12.A3|body.body_posture|Observation.component[0].code.coding[1].system|=  'http://snomed.info/sct'|,,,,,,,,
12.A4,body.body_posture,,,,,Observation.component[0].code.coding[1].display,string,1..1,'Position of body and posture (observable entity)',=  'Position of body and posture (observable entity)',|12.A4|body.body_posture|Observation.component[0].code.coding[1].display|=  'Position of body and posture (observable entity)'|,,,,,,,,
12.B1,body.body_posture,,,,,Observation.component[0].valueCodeableConcept,,1..1,,A mapping between body.body_posture and FHIR Observation Component.valueCodeableConcept data elements.,|12.B1|body.body_posture|Observation.component[0].valueCodeableConcept|A mapping between body.body_posture and FHIR Observation Component.valueCodeableConcept data elements.|,,,,,,,,
12.B2,body.body_posture,,,,,Observation.component[0].valueCodeableConcept.coding[0].code,code,1..1,OMH_FHIR_Concept_Mapping_Table,Map body.body_posture to column 'FHIR Concept' using  the [OMH_FHIR_Concept_Mapping_Table](#),|12.B2|body.body_posture|Observation.component[0].valueCodeableConcept.coding[0].code|Map body.body_posture to column 'FHIR Concept' using  the [OMH_FHIR_Concept_Mapping_Table](#)|,,,,,,,,
12.B3,body.body_posture,,,,,Observation.component[0].valueCodeableConcept.coding[0].system,uri,1..1,OMH_FHIR_Concept_Mapping_Table,Map body.body_posture to column 'FHIR Concept System' using  the [OMH_FHIR_Concept_Mapping_Table](#),|12.B3|body.body_posture|Observation.component[0].valueCodeableConcept.coding[0].system|Map body.body_posture to column 'FHIR Concept System' using  the [OMH_FHIR_Concept_Mapping_Table](#)|,,,,,,,,
12.B4,body.body_posture,,,,,Observation.component[0].valueCodeableConcept.coding[0].display,string,1..1,OMH_FHIR_Concept_Mapping_Table,Map body.body_posture to column 'FHIR Concept display' using  the [OMH_FHIR_Concept_Mapping_Table](#),|12.B4|body.body_posture|Observation.component[0].valueCodeableConcept.coding[0].display|Map body.body_posture to column 'FHIR Concept display' using  the [OMH_FHIR_Concept_Mapping_Table](#)|,,,,,,,,
12.B5,body.body_posture,,,,,Observation.component[0].valueCodeableConcept.text,string,1..1,,=  body.body_posture,|12.B5|body.body_posture|Observation.component[0].valueCodeableConcept.text|=  body.body_posture|,,,,,,,,
13,body.diastolic_blood_pressure,omh:diastolic-blood-pressure:1.0,0..1,his schema represents a person's diastolic blood pressure,,Observation.component[0],Element,0..*,,A mapping  between OMH schema ('datapoint_variables') and FHIR Observation Component data elements.  Multiple components are appended as a list,|13|body.diastolic_blood_pressure|Observation.component[0]|A mapping  between OMH schema ('datapoint_variables') and FHIR Observation Component data elements.  Multiple components are appended as a list|,,,,,,,,
13.A1,body.diastolic_blood_pressure,,,,,Observation.component[0].code,CodeableConcept,1..1,,A mapping between body.diastolic_blood_pressure and FHIR Observation Component.code data elements.,|13.A1|body.diastolic_blood_pressure|Observation.component[0].code|A mapping between body.diastolic_blood_pressure and FHIR Observation Component.code data elements.|,,,,,,,,
13.A2,body.diastolic_blood_pressure,,,,,Observation.component[0].code.coding[1].code,code,1..1,'8462-4',=  '8462-4',|13.A2|body.diastolic_blood_pressure|Observation.component[0].code.coding[1].code|=  '8462-4'|,,,,,,,,
13.A3,body.diastolic_blood_pressure,,,,,Observation.component[0].code.coding[1].system,uri,1..1,'http://loinc.org',=  'http://loinc.org',|13.A3|body.diastolic_blood_pressure|Observation.component[0].code.coding[1].system|=  'http://loinc.org'|,,,,,,,,
13.A4,body.diastolic_blood_pressure,,,,,Observation.component[0].code.coding[1].display,string,1..1,'Diastolic blood pressure',=  'Diastolic blood pressure',|13.A4|body.diastolic_blood_pressure|Observation.component[0].code.coding[1].display|=  'Diastolic blood pressure'|,,,,,,,,
13.B1,body.diastolic_blood_pressure,,,,,Observation.component[0].valueQuantity,,1..1,,see valueQuantity elements below,|13.B1|body.diastolic_blood_pressure|Observation.component[0].valueQuantity|see valueQuantity elements below|,,,,,,,,
13.B2,body.diastolic_blood_pressure,,,,,Observation.component[0].valueQuantity.value,decimal,0..1,,=  body.diastolic_blood_pressure,|13.B2|body.diastolic_blood_pressure|Observation.component[0].valueQuantity.value|=  body.diastolic_blood_pressure|,,,,,,,,
13.B3,body.diastolic_blood_pressure,,,,,Observation.component[0].valueQuantity.unit,string,0..1,'mmHg',=  'mmHg',|13.B3|body.diastolic_blood_pressure|Observation.component[0].valueQuantity.unit|=  'mmHg'|,,,,,,,,
13.B4,body.diastolic_blood_pressure,,,,,Observation.component[0].valueQuantity.system,uri,0..1,http://unitsofmeasure.org,fixed to 'http://unitsofmeasure.org',|13.B4|body.diastolic_blood_pressure|Observation.component[0].valueQuantity.system|fixed to 'http://unitsofmeasure.org'|,,,,,,,,
13.B5,body.diastolic_blood_pressure,,,,,Observation.component[0].valueQuantity.code,string,0..1,'mm[Hg]',=  'mm[Hg]',|13.B5|body.diastolic_blood_pressure|Observation.component[0].valueQuantity.code|=  'mm[Hg]'|,,,,,,,,
14,body.systolic_blood_pressure,omh:systolic-blood-pressure:1.0,0..1,his schema represents a person's systolic blood pressure,,Observation.component[0],Element,0..*,,A mapping  between OMH schema ('datapoint_variables') and FHIR Observation Component data elements.  Multiple components are appended as a list,|14|body.systolic_blood_pressure|Observation.component[0]|A mapping  between OMH schema ('datapoint_variables') and FHIR Observation Component data elements.  Multiple components are appended as a list|,,,,,,,,
14.A1,body.systolic_blood_pressure,,,,,Observation.component[0].code,CodeableConcept,1..1,,0,|14.A1|body.systolic_blood_pressure|Observation.component[0].code|0|,,,,,,,,
14.A2,body.systolic_blood_pressure,,,,,Observation.component[0].code.coding[1].code,code,1..1,'8480-6',=  '8480-6',|14.A2|body.systolic_blood_pressure|Observation.component[0].code.coding[1].code|=  '8480-6'|,,,,,,,,
14.A3,body.systolic_blood_pressure,,,,,Observation.component[0].code.coding[1].system,uri,1..1,'http://loinc.org',=  'http://loinc.org',|14.A3|body.systolic_blood_pressure|Observation.component[0].code.coding[1].system|=  'http://loinc.org'|,,,,,,,,
14.A4,body.systolic_blood_pressure,,,,,Observation.component[0].code.coding[1].display,string,1..1,'Systolic blood pressure',=  'Systolic blood pressure',|14.A4|body.systolic_blood_pressure|Observation.component[0].code.coding[1].display|=  'Systolic blood pressure'|,,,,,,,,
14.B1,body.systolic_blood_pressure,,,,,Observation.component[0].valueQuantity,,1..1,,see valueQuantity elements below,|14.B1|body.systolic_blood_pressure|Observation.component[0].valueQuantity|see valueQuantity elements below|,,,,,,,,
14.B2,body.systolic_blood_pressure.value,,,,,Observation.component[0].valueQuantity.value,decimal,0..1,,=  body.systolic_blood_pressure.value,|14.B2|body.systolic_blood_pressure.value|Observation.component[0].valueQuantity.value|=  body.systolic_blood_pressure.value|,,,,,,,,
14.B3,body.systolic_blood_pressure.unit,,,,,Observation.component[0].valueQuantity.unit,string,0..1,'mmHg',=  'mmHg',|14.B3|body.systolic_blood_pressure.unit|Observation.component[0].valueQuantity.unit|=  'mmHg'|,,,,,,,,
14.B4,body.systolic_blood_pressure.unit,,,,,Observation.component[0].valueQuantity.system,uri,0..1,http://unitsofmeasure.org,fixed to 'http://unitsofmeasure.org',|14.B4|body.systolic_blood_pressure.unit|Observation.component[0].valueQuantity.system|fixed to 'http://unitsofmeasure.org'|,,,,,,,,
14.B5,body.systolic_blood_pressure.unit,,,,,Observation.component[0].valueQuantity.code,string,0..1,'mm[Hg]',=  'mm[Hg]',|14.B5|body.systolic_blood_pressure.unit|Observation.component[0].valueQuantity.code|=  'mm[Hg]'|,,,,,,,,
