Index,OMH Oxygen Saturation Element,JSON Data Type,Cardinality,Description,,FHIR Attribute,Data Type,Cardinality,Mapping Table/Fixed Values,Mapping Instructions,|Index|OMH Oxygen Saturation Element|FHIR Attribute|Mapping Instructions|
1,oxygen-saturation-2.0.json,"JSON schema object (""http://json-schema.org/draft-04/schema#)",,This schema represents a person's oxygen saturation.,,OMH to FHIR Observation Profile,Profile,,,,|1|oxygen-saturation-2.0.json|OMH to FHIR Observation Profile||
2.1,oxygen_saturation,unit-value-1.0.json,1..1,oxygen saturation,,Observation.valueQuantity,Quantity,1..1,,see valueQuantity elements below,|2.1|oxygen_saturation|Observation.valueQuantity|see valueQuantity elements below|
2.2,oxygen_saturation.value,number,1..1,oxygen saturation value,,Observation.valueQuantity.value,decimal,0..1,,=  oxygen_saturation.value,|2.2|oxygen_saturation.value|Observation.valueQuantity.value|=  oxygen_saturation.value|
2.3,oxygen_saturation.unit,string,1..1,oxygen saturation unit,,Observation.valueQuantity.unit,string,0..1,'%',=  '%',|2.3|oxygen_saturation.unit|Observation.valueQuantity.unit|=  '%'|
2.4,oxygen_saturation.unit,,,,,Observation.valueQuantity.system,uri,0..1,http://unitsofmeasure.org,fixed to 'http://unitsofmeasure.org',|2.4|oxygen_saturation.unit|Observation.valueQuantity.system|fixed to 'http://unitsofmeasure.org'|
2.5,oxygen_saturation.unit,,,,,Observation.valueQuantity.code,string,0..1,'%',=  '%',|2.5|oxygen_saturation.unit|Observation.valueQuantity.code|=  '%'|
3,body.effective_time_frame,time-frame,1..1,when the measurement was taken,,Observation.effective[x],varies,0..1,,Mappping depends on type- see below,|3|body.effective_time_frame|Observation.effective[x]|Mappping depends on type- see below|
4,body.effective_time_frame.date_time,date-time,0..1,represents a point in time (ISO8601),,Observation.effectiveDateTime,string,0..1,,=  body.effective_time_frame.date_time,|4|body.effective_time_frame.date_time|Observation.effectiveDateTime|=  body.effective_time_frame.date_time|
5,body.effective_time_frame.time_interval,time-interval,1..1,"This schema describes an interval of time. In the absence of a precise start and/or end time, the time interval can be described as a date + a part of the day (morning, afternoon, evening, night). No commitments are made as to whether the start or end time point itself is included in the interval (i.e., whether the defined interval includes the boundary point(s) or not).
",,Observation.effectivePeriod,Period,0..1,,see effectivePeriod elements below,|5|body.effective_time_frame.time_interval|Observation.effectivePeriod|see effectivePeriod elements below|
6,body.effective_time_frame.time_interval.start_date_time,date-time,0..1,represents a point in time (ISO8601),,Observation.effectivePeriod.start,dateTime,0..1,,=  body.effective_time_frame.time_interval.start_date_time,|6|body.effective_time_frame.time_interval.start_date_time|Observation.effectivePeriod.start|=  body.effective_time_frame.time_interval.start_date_time|
7,body.effective_time_frame.time_interval.end_date_time,date-time,0..1,represents a point in time (ISO8601),,Observation.effectivePeriod.end,dateTime,0..1,,=  body.effective_time_frame.time_interval.end_date_time,|7|body.effective_time_frame.time_interval.end_date_time|Observation.effectivePeriod.end|=  body.effective_time_frame.time_interval.end_date_time|
8,body.measurement_method,string(enum),0..1,Currently pulse oximetry is the only method used for measuring oxygen saturation in a non-hospital setting,,Observation.code,CodeableConcept,1..1,,Header.schema_id.name = 'oxygen-saturation'  mapped to  LOINC code 59408-5 Oxygen saturation in Arterial blood by Pulse oximetry which includes the method and system  properties.,|8|body.measurement_method|Observation.code|Header.schema_id.name = 'oxygen-saturation'  mapped to  LOINC code 59408-5 Oxygen saturation in Arterial blood by Pulse oximetry which includes the method and system  properties.|
9,body.system,string(enum),0..1,"Oxygen saturation can be measured at different levels in the body and is labeled accordingly: peripheral, arterial, etc.""",,Observation.code,CodeableConcept,1..1,,Header.schema_id.name = 'oxygen-saturation'  mapped to  LOINC code 59408-5 Oxygen saturation in Arterial blood by Pulse oximetry which includes the method and system  properties.,|9|body.system|Observation.code|Header.schema_id.name = 'oxygen-saturation'  mapped to  LOINC code 59408-5 Oxygen saturation in Arterial blood by Pulse oximetry which includes the method and system  properties.|
10,body.descriptive_statistic,descriptive-statistic,0..1,"The descriptive statistic of a set of measurements. A measurement value can be the result of combining various measurements and calculating descriptive statistics like average, maximum, minimum, etc. Additional descriptive statistics will be added as the need arises. A measurement value without a descriptive statistic is interpreted as being the result of an individual measurement.
",,Observation.code.coding[1],Coding,0..1,,Map  descriptive statistic to the OMH to FHIR additional Observation codings ( code system http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes).,|10|body.descriptive_statistic|Observation.code.coding[1]|Map  descriptive statistic to the OMH to FHIR additional Observation codings ( code system http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes).|
10.1,body.descriptive_statistic,,,,,Observation.code.coding[1].code,code,1..1,,concatenation of  header.schema_id.name = 'oxygen-saturation'  + '-' + body.descriptive_statistic  for example= oxygen-saturation-maximum,|10.1|body.descriptive_statistic|Observation.code.coding[1].code|concatenation of  header.schema_id.name = 'oxygen-saturation'  + '-' + body.descriptive_statistic  for example= oxygen-saturation-maximum|
10.2,body.descriptive_statistic,,,,,Observation.code.coding[1].system,uri,1..1,'http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes',=  'http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes',|10.2|body.descriptive_statistic|Observation.code.coding[1].system|=  'http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes'|
10.3,body.descriptive_statistic,,,,,Observation.code.coding[1].display,string,1..1,,concatenation of  header.schema_id.name = 'oxygen-saturation'  + '-' + body.descriptive_statistic  for example= oxygen-saturation-maximum,|10.3|body.descriptive_statistic|Observation.code.coding[1].display|concatenation of  header.schema_id.name = 'oxygen-saturation'  + '-' + body.descriptive_statistic  for example= oxygen-saturation-maximum|
11,body.supplemental_oxygen_flow_rate,,0..1,0 L/min means room air,,Observation.component[0],Element,0..*,OMH_FHIR_Component_Mapping_Table,A mapping between  and FHIR Observation Component data elements.  Multiple components mapping are appended as a list,|11|body.supplemental_oxygen_flow_rate|Observation.component[0]|A mapping between  and FHIR Observation Component data elements.  Multiple components mapping are appended as a list|
11.A1,body.supplemental_oxygen_flow_rate,,,,,Observation.component[0].code,CodeableConcept,1..1,,A mapping between  and FHIR Observation Component.code data elements.,|11.A1|body.supplemental_oxygen_flow_rate|Observation.component[0].code|A mapping between  and FHIR Observation Component.code data elements.|
11.A2,body.supplemental_oxygen_flow_rate,,,,,Observation.component[0].code.coding[1].code,code,1..1,"""3151-8""","=  ""3151-8""","|11.A2|body.supplemental_oxygen_flow_rate|Observation.component[0].code.coding[1].code|=  ""3151-8""|"
11.A3,body.supplemental_oxygen_flow_rate,,,,,Observation.component[0].code.coding[1].system,uri,1..1,'http://loinc.org',=  'http://loinc.org',|11.A3|body.supplemental_oxygen_flow_rate|Observation.component[0].code.coding[1].system|=  'http://loinc.org'|
11.A4,body.supplemental_oxygen_flow_rate,,,,,Observation.component[0].code.coding[1].display,string,1..1,'Inhaled oxygen flow rate',=  'Inhaled oxygen flow rate',|11.A4|body.supplemental_oxygen_flow_rate|Observation.component[0].code.coding[1].display|=  'Inhaled oxygen flow rate'|
11.B1,body.supplemental_oxygen_flow_rate,,,,,Observation.component[0].valueQuantity,,1..1,,see valueQuantity elements below,|11.B1|body.supplemental_oxygen_flow_rate|Observation.component[0].valueQuantity|see valueQuantity elements below|
11.B2,body.supplemental_oxygen_flow_rate.value,,,,,Observation.component[0].valueQuantity.value,decimal,0..1,,=  body.supplemental_oxygen_flow_rate.value,|11.B2|body.supplemental_oxygen_flow_rate.value|Observation.component[0].valueQuantity.value|=  body.supplemental_oxygen_flow_rate.value|
11.B3,body.supplemental_oxygen_flow_rate.unit,,,,,Observation.component[0].valueQuantity.unit,string,0..1,,=  body.supplemental_oxygen_flow_rate.unit,|11.B3|body.supplemental_oxygen_flow_rate.unit|Observation.component[0].valueQuantity.unit|=  body.supplemental_oxygen_flow_rate.unit|
11.B4,body.supplemental_oxygen_flow_rate.unit,,,,,Observation.component[0].valueQuantity.system,uri,0..1,"""http://unitsofmeasure.org""","= ""http://unitsofmeasure.org""'","|11.B4|body.supplemental_oxygen_flow_rate.unit|Observation.component[0].valueQuantity.system|= ""http://unitsofmeasure.org""'|"
11.B5,body.supplemental_oxygen_flow_rate.unit,,,,,Observation.component[0].valueQuantity.code,string,0..1,"""l/min""","=  ""l/min""","|11.B5|body.supplemental_oxygen_flow_rate.unit|Observation.component[0].valueQuantity.code|=  ""l/min""|"
12,body.oxygen_therapy_mode_of_administration,,0..1,,,Observation.component[1],Element,0..*,OMH_FHIR_Component_Mapping_Table,A mapping table between OMH schema ('datapoint_variables') and FHIR Observation Component data elements.  Multiple components mapping are appended as a list,|12|body.oxygen_therapy_mode_of_administration|Observation.component[1]|A mapping table between OMH schema ('datapoint_variables') and FHIR Observation Component data elements.  Multiple components mapping are appended as a list|
12.A1,body.oxygen_therapy_mode_of_administration,,,,,Observation.component[1].code,CodeableConcept,1..1,,A mapping between  and FHIR Observation Component.code data elements.,|12.A1|body.oxygen_therapy_mode_of_administration|Observation.component[1].code|A mapping between  and FHIR Observation Component.code data elements.|
12.A2,body.oxygen_therapy_mode_of_administration,,,,,Observation.component[1].code.coding[1].code,code,1..1,'o2-administration-mode',=  'o2-administration-mode',|12.A2|body.oxygen_therapy_mode_of_administration|Observation.component[1].code.coding[1].code|=  'o2-administration-mode'|
12.A3,body.oxygen_therapy_mode_of_administration,,,,,Observation.component[1].code.coding[1].system,uri,1..1,'http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes',=  'http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes',|12.A3|body.oxygen_therapy_mode_of_administration|Observation.component[1].code.coding[1].system|=  'http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes'|
12.A4,body.oxygen_therapy_mode_of_administration,,,,,Observation.component[1].code.coding[1].display,string,1..1,'Oxygen Therapy Mode of Administration',=  'Oxygen Therapy Mode of Administration',|12.A4|body.oxygen_therapy_mode_of_administration|Observation.component[1].code.coding[1].display|=  'Oxygen Therapy Mode of Administration'|
12.B1,body.oxygen_therapy_mode_of_administration,,,,,Observation.component[1].valueString,string,1..1,'nasal cannula',=  'nasal cannula',|12.B1|body.oxygen_therapy_mode_of_administration|Observation.component[1].valueString|=  'nasal cannula'|
